130 NCAP Cities,Latitude,Longitude,State,Country
Lucknow,26.8466937,80.946166,Uttar Pradesh,India
Meerut,28.9844618,77.7064137,Uttar Pradesh,India
Moradabad,28.8386481,78.7733286,Uttar Pradesh,India
Noida,28.5355161,77.3910265,Uttar Pradesh,India
Raebareli,26.2144806,81.2528139,Uttar Pradesh,India
Varansi,25.3176452,82.9739144,Uttar Pradesh,India
Dehradun,30.3164945,78.0321918,Uttarakhand,India
Kashipur,29.2104232,78.9618845,Uttarakhand,India
Rishikesh,30.1157619,78.2853017,Uttarakhand,India
Asanol,23.6888636,86.9660638,West Bengal,India
Barrackpore,22.766117,88.3515562,West Bengal,India
Durgapur,23.5204443,87.3119227,West Bengal,India
Haldia,22.0627164,88.0832934,West Bengal,India
Howrah,22.5957689,88.2636394,West Bengal,India
Kolkata,22.5743545,88.3628734,West Bengal,India
